,Reference_Product,Product_Desciption,Product_Price,Disponibility
42,[HONOR-8A-BK],"Ecran 6.09"" LED HD+ - Processeur MTK MT6765 Octa-Core (4x2.3 GHz + 4x1.8 GHz) - RAM 2 Go - Mémoire 32 Go - Android 9.0 Pie + EMUI 9.0 - 2x Appareils Photos 13 MP (Arrière) / 8 MP (Frontale) - 4G - Wifi - Bluetooth - Batterie 3020 mAh - Garantie 1 an + SIM Orange Offerte 50 Go + Carte mémoire 16 Go Offerte (TUSDH16GCL1002)","419,000 TND",En stock
43,[HONOR-8A-BL],"Ecran 6.09"" LED HD+ - Processeur MTK MT6765 Octa-Core (4x2.3 GHz + 4x1.8 GHz) - RAM 2 Go - Mémoire 32 Go - Android 9.0 Pie + EMUI 9.0 - 2x Appareils Photos 13 MP (Arrière) / 8 MP (Frontale) - 4G - Wifi - Bluetooth - Batterie 3020 mAh - Garantie 1 an + SIM Orange Offerte 50 Go + Carte mémoire 16 Go Offerte (TUSDH16GCL1002)","419,000 TND",En stock
44,[HONOR-8A-RD],"Ecran 6.09"" LED HD+ - Processeur MTK MT6765 Octa-Core (4x2.3 GHz + 4x1.8 GHz) - RAM 2 Go - Mémoire 32 Go - Android 9.0 Pie + EMUI 9.0 - 2x Appareils Photos 13 MP (Arrière) / 8 MP (Frontale) - 4G - Wifi - Bluetooth - Batterie 3020 mAh - Garantie 1 an + SIM Orange Offerte 50 Go + Carte mémoire 16 Go Offerte (TUSDH16GCL1002)","419,000 TND",En stock
45,[Y6-2019-BK],"Double SIM - Ecran 6.09"" HD+ - Processeur MTK MT6761 Quad-Core 1.6 GHz Cortex-A53 - Android 9 Pie - RAM 2 Go - Mémoire 32 Go - Caméra frontale: 8 MP - Caméra arrière: 13 MP - Wifi-Direct - 4G - Bluetooth - Lecteur d'empreinte digitale - Batterie 3020 mAh - Garantie 1 an + SIM Orange Offerte (50 Go)","449,000 TND",En stock
46,[Y6-2019-BL],"Double SIM - Ecran 6.09"" HD+ - Processeur MTK MT6761 Quad-Core 1.6 GHz Cortex-A53 - Android 9 Pie - RAM 2 Go - Mémoire 32 Go - Caméra frontale: 8 MP - Caméra arrière: 13 MP - Wifi-Direct - 4G - Bluetooth - Lecteur d'empreinte digitale - Batterie 3020 mAh - Garantie 1 an + SIM Orange Offerte (50 Go)","449,000 TND",En stock
47,[NOKIA5-BK],"Double SIM - Ecran 5.2"" HD IPS - Processeur Qualcomm Snapdragon 430 Octa-core - RAM 2 Go - Mémoire 16 Go up to 128 Go - Android 7.0 Nougat - 2x Appareils Photo 13 Mégapixels (Arrière), 8 Mégapixels (Avant) - 4G - Wifi - Bluetooth - NFC - Accéléromètre - Batterie 3000 mAh - Garantie 1 an + SIM Orange Offerte (50 Go)","489,000 TND",En stock
48,[SM-A107F/DS-RD],"Double SIM - Ecran 6.2"" HD+ Infinity-V - Processeur MT6762 Octa Core - RAM 2 Go - Mémoire 32 Go - Android 9.0 Pie - Caméra arrière 13 MP (F1.8) + 2 MP, Caméra frontale 8 MP - Reconnaissance Faciale - Lecteur d'empreintes Digitales - 4G - Bluetooth 5.0 - GPS - Wifi - Batterie 4000 mAh - Garantie 1 an + SIM Orange Offerte (50 Go)","489,000 TND",En stock
49,[SM-A107F/DS-BL],"Double SIM - Ecran 6.2"" HD+ Infinity-V - Processeur MT6762 Octa Core - RAM 2 Go - Mémoire 32 Go - Android 9.0 Pie - Caméra arrière 13 MP (F1.8) + 2 MP, Caméra frontale 8 MP - Reconnaissance Faciale - Lecteur d'empreintes Digitales - 4G - Bluetooth 5.0 - GPS - Wifi - Batterie 4000 mAh - Garantie 1 an + SIM Orange Offerte (50 Go)","489,000 TND",En stock
50,[SM-A107F/DS-BK],"Double SIM - Ecran 6.2"" HD+ Infinity-V - Processeur MT6762 Octa Core - RAM 2 Go - Mémoire 32 Go - Android 9.0 Pie - Caméra arrière 13 MP (F1.8) + 2 MP, Caméra frontale 8 MP - Reconnaissance Faciale - Lecteur d'empreintes Digitales - 4G - Bluetooth 5.0 - GPS - Wifi - Batterie 4000 mAh - Garantie 1 an + SIM Orange Offerte (50 Go)","489,000 TND",En stock
51,[PGN-507-WH],"Double SIM - Ecran 4.8"" HD - Processeur Octa Core 1.7Ghz - RAM 1 Go - Mémoire 16 Go extensible jusqu'à 32 Go via MicroSD - Android 4.4.2 KitKat - 2x Appareils Photos 8 MP Arrière avec flash, 2 MP Frontale - Wifi - 3G - Bluetooth - GPS - Batterie 2050 Mah- Garantie 1 an  + SIM Orange Offerte (50 Go)","499,000 TND",En stock
